engine,kv,scenario,turn,rounds,prompt_tokens,cached_tokens,ttft_s,gen_s,e2e_s,decode_tok_s,completion_tokens,accept_rate,peak_wired,peak_rss,needle_ok
mtplx-fork,fp16,mt-2k,1,2,1680.0,0.0,11.351649666001322,9.565099708503112,20.916749374504434,26.26857792462607,252.0,0.5602836879432624,31104958464,21479981056,
mtplx-fork,fp16,mt-2k,2,2,1982.0,1932.0,0.5797087500104681,10.24708308299887,10.826791833009338,24.90201475506364,256.0,0.6613545816733067,28644245504,21494792192,
mtplx-fork,fp16,mt-2k,3,2,2285.0,1932.0,2.6683800210012123,7.139360479515744,9.807740500516957,23.5844347810597,169.0,0.48633879781420764,30170513408,21511372800,"True,True"
mtplx-upstream,fp16,mt-2k,1,2,1680.0,0.0,11.367719958492671,9.516720270519727,20.884440229012398,26.39811763356066,252.0,0.5602836879432624,30977163264,21477195776,
mtplx-upstream,fp16,mt-2k,2,2,1982.0,1932.0,0.5778692085004877,10.312598020507721,10.890467229008209,24.74690168724866,256.0,0.6613545816733067,28538732544,21495644160,
mtplx-upstream,fp16,mt-2k,3,2,2285.0,1932.0,2.7755727499898057,7.212388438012567,9.987961188002373,23.35003679996597,169.0,0.48633879781420764,30124195840,21511077888,"True,True"
omlx,fp16,mt-2k,1,2,1680.0,0.0,11.421837291505653,10.979961895995075,22.40179918750073,22.771143441283904,251.0,0.7540106951871658,25595166720,20567932928,
omlx,fp16,mt-2k,2,2,1982.0,0.0,13.493104478999157,10.226527458493365,23.719631937492522,24.939531810423595,256.0,0.8361067128730619,25915736064,20568571904,
omlx,fp16,mt-2k,3,2,2285.0,0.0,15.616241333511425,7.737110437490628,23.353351771002053,21.620145761479975,168.0,0.7391797820823245,26362052608,20568752128,"True,True"
mtplx-fork,q8,mt-2k,1,2,1680.0,0.0,11.398400166493957,9.1532107295061,20.551610896000057,28.16873032424317,256.0,0.6111111111111112,29858004992,21528068096,
mtplx-fork,q8,mt-2k,2,2,1987.0,1936.0,0.6221092710038647,9.856361666985322,10.478470937989186,26.08793124612479,256.0,0.6470588235294118,31187976192,21543043072,
mtplx-fork,q8,mt-2k,3,2,2291.0,2243.0,0.6085331670037704,6.59017377049895,7.19870693750272,26.168501643070407,173.0,0.5833333333333334,32753352704,21545107456,"True,True"
mtplx-upstream,q8,mt-2k,1,2,1680.0,0.0,11.498396978990058,10.270415270992089,21.768812249982147,25.117466549406117,256.0,0.6007326007326007,31183749120,21519089664,
mtplx-upstream,q8,mt-2k,2,2,1987.0,1936.0,0.6362254795094486,11.269589562507463,11.905815042016911,22.862249069263783,256.0,0.6470588235294118,32598294528,21532180480,
mtplx-upstream,q8,mt-2k,3,2,2291.0,2243.0,0.6416325205063913,7.435744604488718,8.07737712499511,23.19050442454311,173.0,0.5833333333333334,33975222272,21535277056,"True,True"
omlx,q8,mt-2k,1,2,1680.0,0.0,11.442133188000298,12.280262166503235,23.722395354503533,20.358626701832435,251.0,0.7540106951871658,26372358144,20576043008,
omlx,q8,mt-2k,2,2,1982.0,0.0,13.455087395501323,10.860832375503378,24.3159197710047,23.480273477662127,256.0,0.8382882882882883,26230751232,20577173504,
omlx,q8,mt-2k,3,2,2285.0,0.0,15.4465829164983,7.952949083482963,23.399531999981264,21.031114679548676,168.0,0.7489837398373984,26920960000,20577206272,"True,True"
mtplx-fork,q8,mt-8k,1,2,7833.0,0.0,53.809626062517054,9.720208624989027,63.52983468750608,26.522500571990935,256.0,0.5806451612903226,31385518080,21532196864,
mtplx-fork,q8,mt-8k,2,2,8140.0,8089.0,0.6831424794945633,9.669371624506311,10.352514104000875,26.678309437994876,256.0,0.6666666666666666,32385056768,21536702464,
mtplx-fork,q8,mt-8k,3,2,8444.0,8396.0,0.7064499164989684,7.950647916994058,8.657097833493026,25.089676492463905,200.0,0.5671641791044776,33964195840,21538897920,"True,True"
mtplx-upstream,q8,mt-8k,1,2,7833.0,0.0,54.178355708005256,10.989627729490167,65.16798343749542,23.493717251535845,256.0,0.5806451612903226,31952453632,21525757952,
mtplx-upstream,q8,mt-8k,2,2,8140.0,8089.0,0.7561659380153287,11.121435062494129,11.877601000509458,23.20645486241121,256.0,0.6666666666666666,34566586368,21529755648,
mtplx-upstream,q8,mt-8k,3,2,8444.0,8396.0,0.7677093544916715,8.61799135399633,9.385700708488002,21.674672488270346,187.0,0.5555555555555556,35498557440,21531918336,"True,True"
omlx,q8,mt-8k,1,2,7833.0,0.0,56.368738187506096,12.62021924999135,68.98895743749745,20.211886238124386,256.0,0.813663946432308,30829019136,20850393088,
omlx,q8,mt-8k,2,2,8140.0,4096.0,29.954306853498565,12.910071666992735,42.8643785204913,19.752804351048,256.0,0.800333704115684,33153024000,20897005568,
omlx,q8,mt-8k,3,2,8444.0,8192.0,2.6883688125089975,9.999373270999058,12.687742083508056,18.329865226019187,184.0,0.7388784461152882,25038274560,21077590016,"True,True"
mtplx-fork,q8,mt-32k,1,2,32409.0,0.0,245.60845820799295,11.532616583499475,257.14107479149243,22.375572709392618,256.0,0.6297709923664122,37057314816,21555036160,
mtplx-fork,q8,mt-32k,2,2,32716.0,32665.0,0.9723369794955943,12.105622853996465,13.07795983349206,21.31951068492129,256.0,0.6693877551020408,37076533248,21580759040,
mtplx-fork,q8,mt-32k,3,2,33020.0,32972.0,0.9843075415119529,8.9100878124882,9.894395354000153,20.935440125693148,186.0,0.5230769230769231,38497009664,21600780288,"True,True"
mtplx-upstream,q8,mt-32k,1,2,32409.0,0.0,245.8205220215168,15.028793707999284,260.8493157295161,17.110321110771057,256.0,0.6434108527131783,37000134656,21549367296,
mtplx-upstream,q8,mt-32k,2,2,32716.0,32665.0,1.3808294164919062,20.689268875008565,22.07009829150047,12.45473483031251,256.0,0.6053639846743295,40430518272,21582299136,
mtplx-upstream,q8,mt-32k,3,2,33020.0,32972.0,1.3744877915014513,17.258782916498603,18.633270708000055,11.978179351002222,207.0,0.5370370370370371,40761376768,21598552064,"True,True"
omlx,q8,mt-32k,1,2,32409.0,0.0,262.5820109999913,17.658158833000925,280.24016983299225,14.442053696273828,256.0,0.8176505501529471,35149971456,20888780800,
omlx,q8,mt-32k,2,2,32716.0,28672.0,44.56068197901186,18.237053145989194,62.797735125001054,13.984051306551649,256.0,0.7988732665639445,36986191872,21231108096,
omlx,q8,mt-32k,3,2,33019.0,32768.0,3.449032979508047,14.276517499485635,17.725550478993682,14.374118078862697,206.0,0.7833333333333333,26938621952,20930527232,"True,True"
mtplx-fork,q8,mt-64k,1,2,65163.0,0.0,582.225639479002,12.197943749997648,594.4235832289996,21.65247577904725,256.0,0.6066176470588235,39137443840,21573353472,
mtplx-fork,q8,mt-64k,2,2,65470.0,65419.0,1.3713013745000353,12.147845958505059,13.519147333005094,21.147897929854206,256.0,0.6472868217054264,40016150528,21611937792,
mtplx-fork,q8,mt-64k,3,2,65774.0,65726.0,1.369325874489732,8.714704354511923,10.084030229001655,19.810558259403436,169.0,0.5595238095238095,42737156096,21630009344,"True,True"
mtplx-upstream,q8,mt-64k,1,2,65163.0,0.0,591.2115331454988,29.230950958502945,620.4424841040018,8.848679868341765,256.0,0.6171003717472119,41309208576,21568372736,
mtplx-upstream,q8,mt-64k,2,2,65470.0,65419.0,2.074159479510854,29.688143499501166,31.76230297901202,8.692406418203628,256.0,0.65748031496063,45134004224,21571862528,
mtplx-upstream,q8,mt-64k,3,2,65774.0,65726.0,2.124160812498303,20.903972937507206,23.02813375000551,8.424075469688582,176.0,0.5689655172413793,48364978176,21574582272,"True,True"
omlx,q8,mt-64k,1,2,65163.0,0.0,613.5489358329942,23.383376875004615,636.9323127079988,10.909043807002565,256.0,0.7803268958590147,39635484672,20909326336,
omlx,q8,mt-64k,2,2,65470.0,61440.0,61.75885695850593,23.40068877048907,85.159545728995,10.911661759662683,256.0,0.8347850979429927,38423445504,21406269440,
omlx,q8,mt-64k,3,2,65774.0,65536.0,4.76375262500369,17.326668250010698,22.090420875014388,10.406996060045937,181.0,0.7099473326537546,31775703040,21269069824,"True,True"
mtplx-fork,q8,mt-128k,1,1,130713,0,1494.9359163329937,15.826357874990208,1510.7622742079839,17.825583429395074,256,0.6043956043956044,43374297088,21612199936,
mtplx-fork,q8,mt-128k,2,1,131020,130969,2.2412465840170626,15.104298457998084,17.345545042015146,17.24529351043917,256,0.6395348837209303,46930886656,21640085504,
